asn,count,bad_count,CCA
"Cloudflare, Inc.",17018,4863,0.28575625807968036
UNKNOWN,14086,12000,0.8519096975720574
"Amazon.com, Inc.",8606,3075,0.35730885428770626
Google LLC,2075,1188,0.5725301204819278
"Weebly, Inc.",2057,2033,0.9883325230918814
"Servers.com, Inc.",1455,1445,0.993127147766323
"Fastly, Inc.",1096,247,0.22536496350364962
"Cloudflare London, LLC",1074,55,0.051210428305400374
Akamai Connected Cloud,1044,512,0.4904214559386973
Hetzner Online GmbH,970,365,0.37628865979381443
"Squarespace, Inc.",745,128,0.17181208053691274
OVH SAS,545,114,0.20917431192660552
Hostinger International Limited,535,244,0.45607476635514016
Microsoft Corporation,526,110,0.20912547528517111
Wix.com Ltd.,522,125,0.23946360153256704
"DigitalOcean, LLC",482,142,0.2946058091286307
Wowrack.com,426,423,0.9929577464788732
IANA.ORG,401,390,0.972568578553616
PEG TECH INC,330,62,0.18787878787878787
"Namecheap, Inc.",301,108,0.3588039867109635
ASLINE LIMITED,282,12,0.0425531914893617
IONOS SE,276,75,0.2717391304347826
Confluence Networks Inc,261,42,0.16091954022988506
"Automattic, Inc",249,42,0.1686746987951807
Incapsula Inc,216,11,0.05092592592592592
Gransy s.r.o.,209,200,0.9569377990430622
Trellian Pty. Limited,202,162,0.801980198019802
Akamai International B.V.,199,0,0.0
"easyDNS Technologies, Inc.",195,190,0.9743589743589743
"GoDaddy.com, LLC",186,48,0.25806451612903225
Unified Layer,184,71,0.3858695652173913
DXTL Tseung Kwan O Service,177,31,0.1751412429378531
"Hangzhou Alibaba Advertising Co.,Ltd.",175,21,0.12
"Alibaba US Technology Co., Ltd.",169,44,0.2603550295857988
"Liquid Web, L.L.C",153,16,0.10457516339869281
Team Internet AG,144,82,0.5694444444444444
LUOGELANG FRANCE LIMITED,140,12,0.08571428571428572
Hurricane Electric LLC,140,134,0.9571428571428572
Oracle Corporation,135,42,0.3111111111111111
"New Dream Network, LLC",132,15,0.11363636363636363
"Domain names registrar REG.RU, Ltd",129,52,0.40310077519379844
Jsc timeweb,125,28,0.224
Vautron Rechenzentrum AG,119,0,0.0
Beget LLC,118,20,0.1694915254237288
CNSERVERS LLC,117,9,0.07692307692307693
LG DACOM Corporation,116,99,0.853448275862069
"Network Solutions, LLC",114,50,0.43859649122807015
"The Constant Company, LLC",113,27,0.23893805309734514
POWER LINE DATACENTER,111,15,0.13513513513513514
SAKURA Internet Inc.,106,16,0.1509433962264151
Netminders Server Hosting,102,102,1.0
"OWGELS INTERNATIONAL CO., LIMITED",102,5,0.049019607843137254
Sprinthost.ru LLC,100,91,0.91
Host Europe GmbH,99,11,0.1111111111111111
AROSSCLOUD INC.,99,7,0.0707070707070707
Sucuri,97,9,0.09278350515463918
JSC Selectel,94,15,0.1595744680851064
Wildcard UK Limited,93,85,0.9139784946236559
Aruba S.p.A.,92,16,0.17391304347826086
SEDO GmbH,86,47,0.5465116279069767
"GMO Internet Group, Inc.",84,43,0.5119047619047619
"InMotion Hosting, Inc.",84,17,0.20238095238095238
Korea Telecom,79,12,0.1518987341772152
Combell NV,79,5,0.06329113924050633
Shenzhen Tencent Computer Systems Company Limited,78,34,0.4358974358974359
Xserver Inc.,76,12,0.15789473684210525
UAB Cgates,73,73,1.0
eSited Solutions,72,5,0.06944444444444445
WHG Hosting Services Ltd,70,28,0.4
LLC masterhost,69,8,0.11594202898550725
Gigabit Hosting Sdn Bhd,69,4,0.057971014492753624
"Tencent Building, Kejizhongyi Avenue",67,17,0.2537313432835821
Zenlayer Inc,65,47,0.7230769230769231
cognetcloud INC,65,11,0.16923076923076924
China Telecom Group,65,9,0.13846153846153847
LeaseWeb Netherlands B.V.,64,37,0.578125
Signet B.V.,64,8,0.125
GNET INC.,64,16,0.25
Corporation Service Company,62,16,0.25806451612903225
Ddos-guard Ltd,61,33,0.5409836065573771
K Media Tech Ltd.,59,0,0.0
Rackspace Hosting,57,4,0.07017543859649122
Xtra Telecom S.A.,57,57,1.0
JSC IOT,56,3,0.05357142857142857
Protocol Labs,56,56,1.0
"DFINITY USA Research, LLC",55,55,1.0
Neue Medien Muennich GmbH,55,3,0.05454545454545454
"Lee Enterprises, Incorporated",53,0,0.0
Zillion Network Inc.,53,11,0.20754716981132076
